sample,TCGA-A7-A0CH-11,TCGA-E9-A1RC-11,TCGA-A7-A0DB-11,TCGA-BH-A0H9-11,TCGA-BH-A0E0-11,TCGA-BH-A0HA-11,TCGA-BH-A18P-11,TCGA-E9-A1N4-11,TCGA-BH-A18U-11,TCGA-E2-A1LS-11,TCGA-AC-A2FM-11,TCGA-BH-A18M-11,TCGA-BH-A0B3-11,TCGA-BH-A0C0-11,TCGA-BH-A0H7-11,TCGA-BH-A0BM-11,TCGA-E2-A1BC-11,TCGA-BH-A0DG-11,TCGA-BH-A0B7-11,TCGA-BH-A1ET-11,TCGA-BH-A0B8-11,TCGA-E2-A15I-11,TCGA-BH-A18L-11,TCGA-BH-A0DZ-11,TCGA-E9-A1N5-11,TCGA-E9-A1N6-11,TCGA-BH-A18R-11,TCGA-BH-A1EO-11,TCGA-AC-A23H-11,TCGA-BH-A18N-11,TCGA-A7-A0CE-11,TCGA-BH-A0AY-11,TCGA-E9-A1ND-11,TCGA-BH-A1FH-11,TCGA-E9-A1RF-11,TCGA-BH-A1F0-11,TCGA-BH-A1FD-11,TCGA-AC-A2FF-11,TCGA-E2-A15K-11,TCGA-BH-A0DQ-11,TCGA-BH-A0H5-11,TCGA-E9-A1RI-11,TCGA-BH-A209-11,TCGA-E9-A1RB-11,TCGA-BH-A0DH-11,TCGA-E9-A1RD-11,TCGA-BH-A18Q-11,TCGA-BH-A0BJ-11,TCGA-E9-A1R7-11,TCGA-BH-A1FG-11,TCGA-A7-A13G-11,TCGA-BH-A0DK-11,TCGA-BH-A1FC-11,TCGA-E9-A1NG-11,TCGA-BH-A1EU-11,TCGA-BH-A0BQ-11,TCGA-GI-A2C9-11,TCGA-E9-A1NA-11,TCGA-BH-A0DV-11,TCGA-BH-A1FU-11,TCGA-BH-A1F2-11,TCGA-BH-A18V-11,TCGA-BH-A1FM-11,TCGA-BH-A0AU-11,TCGA-BH-A0BT-11,TCGA-BH-A204-11,TCGA-BH-A1FB-11,TCGA-A7-A0DC-11,TCGA-BH-A18S-11,TCGA-E2-A153-11,TCGA-BH-A1FE-11,TCGA-BH-A0BC-11,TCGA-BH-A1FR-11,TCGA-E2-A1LB-11,TCGA-BH-A1EW-11,TCGA-BH-A208-11,TCGA-E9-A1RH-11,TCGA-BH-A0BW-11,TCGA-BH-A0BS-11,TCGA-BH-A1FN-11,TCGA-BH-A0HK-11,TCGA-BH-A0AZ-11,TCGA-BH-A0DO-11,TCGA-BH-A0BA-11,TCGA-BH-A0E1-11,TCGA-BH-A1EN-11,TCGA-E2-A158-11,TCGA-E2-A15M-11,TCGA-BH-A0C3-11,TCGA-E9-A1N9-11,TCGA-GI-A2C8-11,TCGA-BH-A0DP-11,TCGA-BH-A0BV-11,TCGA-A7-A13F-11,TCGA-BH-A1F8-11,TCGA-BH-A18J-11,TCGA-BH-A1FJ-11,TCGA-BH-A203-11,TCGA-E2-A1L7-11,TCGA-BH-A1F6-11,TCGA-E2-A1LH-11,TCGA-BH-A0BZ-11,TCGA-A7-A0D9-11,TCGA-BH-A0DL-11,TCGA-BH-A0DT-11,TCGA-BH-A0DD-11,TCGA-BH-A0B2-11,TCGA-BH-A18K-11,TCGA-E2-A1IG-11,TCGA-BH-A0B5-11,TCGA-E9-A1NF-11,TCGA-A7-A13E-11,TCGA-AC-A2FB-11,TCGA-BH-A1EV-11
ACTN2,0.4606,1.9247,2.3572,1.4841,0.5296,0.8568,2.3968,0.9192,4.6197,2.2345,1.9467,1.2155,1.9061,0.9475,1.5526,0.5075,3.8634,1.5764,1.1984,2.3441,2.4045,1.6457,1.6335,2.1846,1.8843,1.922,1.6865,1.8608,1.6539,2.5754,0.9652,0.5208,2.8661,2.6118,1.7688,2.7685,1.2437,0.6405,2.6545,3.0948,1.1676,1.8895,2.4753,5.1692,2.4901,2.2419,2.1557,0.0,2.3349,0.0,3.1912,0.369,3.2147,2.6705,1.157,0.0,2.4474,1.1049,1.218,1.6311,1.729,0.0,2.0191,0.4896,1.7692,1.553,1.9661,0.9501,0.9626,2.4704,1.2613,0.542,0.5901,0.8634,4.3288,3.68,2.9449,2.1534,1.0372,2.5612,2.2431,1.3357,2.2689,1.2536,0.5753,3.4242,6.448,3.4746,1.5954,1.3254,18.2367,1.4309,0.3848,1.4834,2.3266,0.0,2.5269,2.4553,1.7837,1.863,0.5648,0.4447,1.3377,2.2572,1.9711,2.16,0.8701,1.5189,0.6124,1.8479,3.1372,1.3008,2.6116,4.8111
AHCTF1,9.8517,10.693,10.4697,9.639,9.7392,10.9515,10.7304,11.0476,10.6422,10.7836,9.1307,10.7907,10.603,10.6801,10.4393,10.2913,10.6468,10.7819,10.8043,10.9711,10.3494,10.9124,10.2823,9.5971,10.5691,10.6583,10.9054,10.0649,10.8081,10.5955,10.1261,10.5658,9.7053,10.2126,10.9038,10.7439,10.7331,10.2875,9.3314,10.5907,10.6648,11.1138,10.8439,10.94,9.61,10.7115,10.8486,10.8171,10.9624,10.2734,10.9118,10.7167,10.2371,10.6858,10.8603,10.6401,10.6517,10.3063,11.1208,10.6939,10.9247,9.1685,10.7417,10.5809,10.2481,11.0394,10.4673,10.6867,10.4384,10.6217,11.3486,10.5728,10.3826,10.5858,11.3954,10.9223,10.6369,10.9206,10.4605,10.459,10.283,10.7794,10.632,10.35,10.5075,10.5274,10.5747,10.6886,10.4069,10.6168,10.7226,10.5815,10.616,10.5822,10.5575,10.3279,11.1021,10.8701,10.5407,10.8816,10.5146,10.4501,10.8701,10.5704,10.6909,10.7288,10.1875,10.6028,10.8482,10.506,10.887,10.2001,10.3088,10.8366
AHNAK,16.4186,17.9707,17.1182,16.3189,15.5295,15.9252,16.9701,16.3365,16.4896,16.9671,14.7268,16.6769,16.3412,16.5832,15.7457,16.085,15.6294,16.7364,16.3229,16.9642,17.8099,16.7078,16.6051,14.8739,15.5635,16.6461,16.8144,16.2093,16.6489,16.8243,15.4767,16.6272,15.8916,16.0805,17.766,16.2446,16.675,15.8133,15.6878,16.6084,16.466,17.9118,16.3292,17.1598,16.0912,17.512,16.7202,16.197,17.7804,14.7025,17.2047,16.0244,15.7861,17.6693,16.9743,16.2905,16.3499,17.1094,16.7694,16.7937,16.8546,14.8686,16.7396,16.4148,15.9704,17.1162,16.0687,17.3358,16.2166,15.974,15.9438,16.6855,15.9169,15.5258,16.2327,16.1572,17.3323,15.9665,15.7908,15.6103,16.558,16.5836,16.2543,16.6364,15.684,16.7752,17.2123,16.4463,16.3183,16.7986,16.1465,16.9044,16.3171,16.8454,15.7287,16.5968,16.161,17.048,15.8786,16.6727,15.9753,16.9207,17.8757,16.624,16.4368,17.7598,15.8755,16.8249,17.1246,17.2715,17.8252,17.1191,16.7135,16.4759
AHNAK2,10.798,10.2674,11.6602,10.193,8.4086,8.4214,9.6669,9.4879,10.3754,9.7194,9.2013,10.6624,10.1188,9.9001,10.0149,8.8538,9.9183,9.8856,9.2196,10.6796,10.0273,9.7222,10.3784,8.6548,9.3074,10.3909,10.659,10.8704,12.1193,10.5482,9.8067,10.7603,10.7297,10.9695,11.3305,10.4556,9.9278,9.9398,10.7183,9.7183,8.7859,8.9898,10.0914,10.6913,10.3117,11.3686,10.4405,10.1716,11.4907,9.9049,9.4738,9.1481,10.2172,10.8388,10.8583,9.7374,10.6802,10.9636,9.629,10.4823,10.6327,9.2704,10.7417,9.5157,9.491,11.3909,9.548,10.8,10.1165,10.2898,9.4908,10.5985,10.1951,8.0377,9.1947,9.7834,11.6408,10.4617,8.9063,10.4445,10.7744,9.7719,10.1152,10.5196,8.739,10.9993,11.6615,10.6532,10.2939,10.1896,8.7625,9.4902,9.671,10.6276,10.3973,10.2199,10.1667,9.8605,9.9442,10.6086,8.7428,10.3099,11.2877,10.3509,9.7977,11.3902,10.4271,9.3582,9.8985,9.5888,11.9306,10.2001,11.0248,10.9169
AKAP9,10.1331,10.6381,10.3345,8.9539,10.7797,11.9169,11.7764,12.2561,11.5307,11.4627,10.0169,11.3874,12.3092,11.8962,10.678,11.0005,10.8372,12.0562,11.9862,12.0264,10.7139,11.6057,11.288,10.5487,11.6158,11.1127,11.8078,9.6897,11.2473,11.6507,10.9245,11.1579,9.6075,10.7824,11.0379,11.2431,11.2784,11.1357,9.5695,12.1043,11.9421,10.6359,11.4762,11.7065,10.0031,11.1359,11.9512,11.7515,11.486,10.472,11.3678,11.864,10.8695,10.8815,11.9481,11.6175,11.4518,11.1148,11.7703,12.0143,11.6288,10.005,11.8404,12.0581,11.3687,10.9762,11.7063,10.9249,11.2858,11.4267,12.0796,10.9727,11.3201,11.6328,12.4917,11.8629,10.8519,11.5975,10.8415,10.925,11.0144,12.4804,11.6216,11.1511,10.7881,10.9985,10.9764,11.3026,11.8898,11.6748,12.0291,11.8514,11.7663,11.1666,11.0458,11.5484,11.4558,11.9674,11.4408,11.4716,11.6801,11.3052,10.7109,11.4577,11.9507,10.8941,10.6875,11.9742,11.0987,11.1658,10.8991,10.8238,10.8097,12.0675
AKT1,11.8666,11.8172,11.6043,12.2119,12.2335,11.2944,11.7096,11.1569,11.6639,11.7572,12.1612,11.6096,11.6185,11.4095,11.989,11.6807,12.0226,11.2637,11.4041,11.2581,11.8454,11.1119,11.8588,12.3074,11.8205,11.5436,11.378,11.6484,10.9952,11.7706,11.8768,11.4549,11.9592,11.5262,11.1312,11.3788,11.1814,11.8494,12.0303,11.6797,11.4165,11.0652,11.12,11.26,12.0173,11.471,11.3983,11.4634,11.2355,10.4094,11.3553,11.7185,11.6065,11.5694,11.1389,11.4504,11.4921,11.8727,11.2787,11.6955,11.5244,11.5745,11.2819,11.5587,11.6651,11.5276,11.3798,11.5858,11.7325,11.5908,10.1131,11.6514,11.396,11.8658,11.0092,11.3442,11.6361,11.275,11.6699,10.7992,11.7003,11.3975,11.4834,11.5643,11.6957,11.6772,11.7584,11.3735,11.3731,11.5412,11.0986,11.601,11.4552,11.4362,11.3601,11.6088,10.1243,11.0568,11.7401,10.7213,11.6644,11.547,11.8925,11.4958,11.4813,11.8839,11.8164,11.5031,11.861,12.0617,11.7192,11.5123,11.5802,11.1353
ANK2,10.2978,11.0779,11.4533,9.8249,7.6415,7.3398,9.9776,7.8896,9.5964,11.697,8.806,9.8433,9.2864,8.7809,8.8921,7.1606,10.5285,9.2571,8.6227,9.9724,10.6841,11.7302,10.3045,7.8686,8.2439,10.1412,10.1871,11.8971,11.2788,10.3406,10.0308,10.4114,10.7086,10.9227,11.9635,9.9641,10.1774,8.8857,10.4359,9.8042,8.7667,10.7757,10.8941,11.0459,9.3341,11.4021,9.8135,9.3891,11.3859,10.0709,11.6379,8.832,10.4782,11.9462,10.3719,10.0883,10.853,10.6617,9.571,9.4663,10.1949,10.123,10.2575,7.9275,8.3966,12.5157,8.8675,10.8176,9.8273,9.7676,9.0069,10.6656,9.6464,7.4283,9.577,9.5296,11.5067,10.3108,7.9802,10.7286,11.1604,9.4365,9.0226,9.9732,7.7878,10.8604,11.8116,10.958,9.198,9.7561,12.5321,9.4126,9.3336,10.3111,10.4205,9.7537,11.426,9.6758,9.7026,11.6075,7.3483,10.5132,11.0906,10.2938,9.0086,11.089,10.7464,9.3082,10.2638,11.5397,11.7468,10.7158,11.2267,10.7475
ANK3,8.9085,7.9159,6.3921,6.4672,10.3063,10.8385,9.7064,10.874,10.5266,8.3356,8.9173,9.7825,10.8195,10.6039,10.309,10.4532,8.2488,10.7501,10.7366,10.2788,7.5328,9.255,9.6461,9.9421,10.7687,10.1227,10.4065,5.9767,10.3096,9.8563,10.4278,9.7716,8.3834,10.244,6.3301,9.9685,10.281,10.2015,8.8191,10.4875,10.8651,8.3035,10.4873,9.5898,9.5944,9.296,10.6642,11.0721,9.0677,9.6758,7.3073,10.9207,9.7896,8.896,10.626,10.7732,10.5522,10.0232,10.6983,10.4361,9.8867,9.0943,10.5655,10.6784,10.5653,8.0925,10.4409,9.821,9.9312,10.7073,10.9848,10.4787,9.8096,10.713,11.6366,11.1195,8.8414,10.6254,10.7757,9.9434,9.8847,10.9512,10.9437,10.2209,10.8139,8.9601,9.067,9.7427,10.6019,10.433,11.8345,11.0282,10.8257,10.1709,10.3732,10.1922,10.2112,10.7669,10.2211,10.1391,10.4961,9.6419,7.388,10.4099,10.607,7.1968,10.1317,10.832,9.5706,8.0036,6.1062,9.2408,9.9067,10.9953
APOB,6.7675,8.2265,8.702,7.6775,6.5152,2.2171,11.201,2.7319,5.0883,10.1045,5.0181,8.2697,5.4231,5.066,5.9015,5.2833,10.147,6.6924,5.1154,6.3893,11.653,10.72,7.9484,4.1211,4.5777,7.3468,9.0687,8.4056,6.8871,8.6372,4.0213,6.0396,6.6328,6.7391,10.1932,8.742,9.4321,1.2614,5.4225,3.045,5.3238,11.3529,8.6259,8.601,5.9414,9.3772,6.8656,3.0623,9.6459,7.9405,10.4537,2.7089,5.1424,8.8436,6.8271,6.815,6.6431,9.7221,5.149,8.0991,9.8046,5.7376,8.0816,4.1348,2.892,8.8521,5.1653,9.6567,8.3081,2.2121,6.3945,5.858,4.8727,3.0659,5.4756,6.9538,9.981,3.8444,4.7897,4.7368,4.4035,4.2467,4.6476,8.4257,1.7865,9.6329,8.3104,8.1012,5.9927,6.1037,4.601,5.2471,8.2259,5.2411,7.5504,7.7595,7.327,8.812,4.9025,9.2638,3.2668,8.721,9.8263,6.3515,5.9016,8.7139,6.9582,8.2354,10.3971,10.7473,7.5974,9.1359,6.6209,8.702
ARID1A,11.092,11.0302,10.8585,10.2011,11.4458,11.6437,11.2179,11.6283,11.5614,10.9032,10.4062,11.4508,11.3796,11.5289,11.1761,11.4216,10.8567,11.7758,11.6889,11.6106,11.0931,10.9586,11.409,11.2073,11.9775,11.578,11.5067,10.3927,11.2817,11.6627,11.0098,11.2221,10.8484,10.9491,11.1232,11.0869,11.165,11.7439,10.7351,11.6494,11.5867,10.9602,11.3455,11.4617,11.0842,11.1162,11.7179,11.7441,11.0589,11.0504,11.1956,11.7445,11.1941,11.0962,11.6275,11.7521,11.2973,11.514,11.7156,11.7264,11.3907,10.4531,11.4676,11.7639,11.5975,11.1713,11.415,11.2099,11.3905,11.7803,11.632,11.1646,11.3722,11.8356,11.9045,11.5058,10.9767,11.8326,11.4238,11.2565,11.1307,11.9487,11.4332,11.6448,11.3671,11.2266,11.278,11.3743,11.6376,11.4255,11.1402,11.5368,11.8357,11.3626,11.1123,11.5097,11.1554,11.4914,11.609,11.37,11.6161,11.4654,10.9746,11.5494,11.6537,11.2043,11.299,11.8115,11.2878,10.8426,11.0466,11.2787,11.102,11.3699
