sample,TCGA.E9.A1N4.11,TCGA.BH.A1F2.11,TCGA.BH.A0DP.11,TCGA.BH.A0BF.11,TCGA.BH.A1FC.11,TCGA.BH.A0H9.11,TCGA.BH.A208.11,TCGA.BH.A0DI.11,TCGA.E9.A1N6.11,TCGA.A7.A13G.11,TCGA.BH.A0H7.11,TCGA.A7.A0DB.11,TCGA.BH.A0AU.11,TCGA.E9.A1RC.11,TCGA.E9.A1NE.11,TCGA.BH.A1FM.11,TCGA.BH.A203.11,TCGA.E2.A1B5.11,TCGA.BH.A1EW.11,TCGA.BH.A1EU.11,TCGA.BH.A0B3.11,TCGA.E9.A1RF.11,TCGA.E2.A1L7.11,TCGA.AC.A2FG.11,TCGA.E9.A1RI.11,TCGA.E9.A1N8.11,TCGA.BH.A0AY.11,TCGA.BH.A1F0.11,TCGA.BH.A1FR.11,TCGA.E9.A1ND.11,TCGA.E9.A1RD.11,TCGA.BH.A1FN.11,TCGA.E2.A1IO.11,TCGA.A7.A13F.11,TCGA.BH.A1EV.11,TCGA.BH.A1ES.11,TCGA.E2.A15I.11,TCGA.BH.A0DH.11,TCGA.BH.A0BC.11,TCGA.A7.A13E.11,TCGA.BH.A0BA.11,TCGA.BH.A0DK.11,TCGA.BH.A0E0.11,TCGA.BH.A0B2.11,TCGA.BH.A0BV.11,TCGA.BH.A0DG.11,TCGA.AC.A23H.11,TCGA.E2.A1IF.11,TCGA.BH.A209.11,TCGA.E9.A1R7.11,TCGA.E2.A1LB.11,TCGA.BH.A1FH.11,TCGA.BH.A1FJ.11,TCGA.BH.A0HK.11,TCGA.BH.A0BM.11,TCGA.BH.A0E1.11,TCGA.BH.A1FE.11,TCGA.A7.A0DC.11,TCGA.BH.A0BJ.11,TCGA.BH.A1F5.11,TCGA.BH.A1EO.11,TCGA.AC.A2FM.11,TCGA.A7.A0D9.11,TCGA.AC.A2FB.11,TCGA.E2.A1LS.11,TCGA.BH.A0BT.11,TCGA.BH.A0C0.11,TCGA.E2.A1BC.11,TCGA.BH.A0C3.11,TCGA.BH.A204.11,TCGA.E9.A1NF.11,TCGA.BH.A1EN.11,TCGA.BH.A0DZ.11,TCGA.E9.A1N5.11,TCGA.A7.A0CE.11,TCGA.BH.A1FG.11,TCGA.AC.A2FF.11,TCGA.BH.A0B8.11,TCGA.BH.A0AZ.11,TCGA.BH.A0DQ.11,TCGA.BH.A1FB.11,TCGA.E9.A1RH.11,TCGA.A7.A0CH.11,TCGA.BH.A1F8.11,TCGA.E9.A1NA.11,TCGA.E2.A1LI.11,TCGA.BH.A1FD.11,TCGA.BH.A1F6.11,TCGA.BH.A1ET.11,TCGA.E2.A1II.11,TCGA.BH.A0HA.11,TCGA.E2.A15K.11,TCGA.BH.A1EY.11,TCGA.BH.A0BZ.11,TCGA.E9.A1NG.11,TCGA.BH.A0DV.11,TCGA.BH.A0BS.11,TCGA.E9.A1RB.11
ACTN2,0.60736875,0.629796875,0.703778125,0.634296875,0.6402375,0.6860125,0.65973125,0.6040375,0.6185625,0.6447625,0.6278875,0.689684375,0.608096875,0.736896875,0.595253125,0.62483125,0.666603125,0.63551875,0.6207625,0.63895625,0.65425,0.72736875,0.636846875,0.631746875,0.6590375,0.626459375,0.678334375,0.658734375,0.6454125,0.6558125,0.651765625,0.595525,0.658003125,0.650134375,0.65415,0.617190625,0.646290625,0.68934375,0.62121875,0.652646875,0.667934375,0.658803125,0.64356875,0.64575,0.636378125,0.630834375,0.72075,0.6242375,0.7212875,0.6741,0.58869375,0.62260625,0.618875,0.657578125,0.6301625,0.641896875,0.60543125,0.679803125,0.638771875,0.659625,0.67905,0.626084375,0.679728125,0.6629875,0.72504375,0.64105625,0.643803125,0.679046875,0.604190625,0.717796875,0.687984375,0.6847625,0.6538,0.6104875,0.667421875,0.63295625,0.631465625,0.64676875,0.59716875,0.64641875,0.623196875,0.66224375,0.676471875,0.65445625,0.64691875,0.69720625,0.620959375,0.647875,0.632671875,0.612465625,0.618821875,0.625215625,0.659321875,0.657321875,0.65573125,0.603771875,0.62480625,0.684471875
AHCTF1,0.405721428571429,0.417614285714286,0.435964285714286,0.427721428571429,0.425492857142857,0.427957142857143,0.439928571428571,0.401085714285714,0.431721428571429,0.436221428571429,0.405778571428571,0.455692857142857,0.415928571428571,0.495735714285714,0.403914285714286,0.396314285714286,0.4296,0.424507142857143,0.409157142857143,0.425178571428571,0.433157142857143,0.483535714285714,0.419442857142857,0.418814285714286,0.446478571428571,0.4239,0.4299,0.441478571428571,0.435564285714286,0.420935714285714,0.418764285714286,0.418607142857143,0.438192857142857,0.432721428571429,0.437192857142857,0.425957142857143,0.429671428571429,0.427178571428571,0.437835714285714,0.441871428571429,0.428371428571429,0.412064285714286,0.417192857142857,0.41685,0.421278571428571,0.432907142857143,0.475421428571429,0.417835714285714,0.494185714285714,0.426264285714286,0.40495,0.427914285714286,0.420992857142857,0.425457142857143,0.412907142857143,0.422078571428571,0.403742857142857,0.460078571428571,0.416757142857143,0.410792857142857,0.440921428571429,0.42465,0.462214285714286,0.440507142857143,0.487271428571429,0.414092857142857,0.416328571428571,0.455042857142857,0.413185714285714,0.493214285714286,0.452571428571429,0.420757142857143,0.414114285714286,0.425364285714286,0.426271428571429,0.4184,0.425342857142857,0.44215,0.408342857142857,0.409335714285714,0.400271428571429,0.446464285714286,0.453507142857143,0.440457142857143,0.431471428571429,0.436814285714286,0.421614285714286,0.407985714285714,0.411942857142857,0.413678571428571,0.414492857142857,0.412835714285714,0.429171428571429,0.440564285714286,0.427442857142857,0.39195,0.413271428571429,0.471892857142857
AHNAK,0.276744117647059,0.248867647058824,0.286055882352941,0.258505882352941,0.283741176470588,0.242488235294118,0.341952941176471,0.264029411764706,0.275779411764706,0.234370588235294,0.281491176470588,0.262352941176471,0.26665,0.347620588235294,0.255729411764706,0.251064705882353,0.279267647058824,0.264885294117647,0.291179411764706,0.255917647058824,0.273111764705882,0.330176470588235,0.293876470588235,0.275773529411765,0.277955882352941,0.255885294117647,0.262985294117647,0.265138235294118,0.275002941176471,0.269314705882353,0.261738235294118,0.272091176470588,0.268029411764706,0.26615,0.265876470588235,0.264879411764706,0.250170588235294,0.271411764705882,0.264308823529412,0.264938235294118,0.267270588235294,0.280255882352941,0.259382352941176,0.269752941176471,0.251008823529412,0.285961764705882,0.332132352941176,0.263255882352941,0.381814705882353,0.255320588235294,0.274814705882353,0.262641176470588,0.253741176470588,0.259952941176471,0.251667647058824,0.274958823529412,0.271732352941176,0.294894117647059,0.272282352941176,0.281561764705882,0.259432352941176,0.255338235294118,0.284952941176471,0.273252941176471,0.347267647058824,0.259217647058824,0.265629411764706,0.241841176470588,0.254035294117647,0.333891176470588,0.253005882352941,0.267938235294118,0.276205882352941,0.279308823529412,0.277629411764706,0.252979411764706,0.282729411764706,0.245097058823529,0.245332352941176,0.261167647058824,0.251147058823529,0.259226470588235,0.288832352941176,0.255847058823529,0.267258823529412,0.327538235294118,0.250011764705882,0.2544,0.261802941176471,0.262123529411765,0.267132352941176,0.256067647058824,0.272335294117647,0.274055882352941,0.256391176470588,0.247255882352941,0.265091176470588,0.355041176470588
AHNAK2,0.546735714285714,0.526407142857143,0.563617857142857,0.525296428571429,0.528592857142857,0.514146428571429,0.585457142857143,0.532975,0.536728571428571,0.5131,0.557982142857143,0.533164285714286,0.54505,0.578467857142857,0.528046428571429,0.525575,0.539925,0.530139285714286,0.548439285714286,0.543521428571429,0.544621428571429,0.565703571428571,0.526346428571429,0.524732142857143,0.521189285714286,0.525135714285714,0.543475,0.525942857142857,0.528164285714286,0.533717857142857,0.507264285714286,0.532121428571429,0.529521428571429,0.539175,0.528528571428571,0.543210714285714,0.518735714285714,0.566517857142857,0.550771428571429,0.53135,0.54315,0.555964285714286,0.546628571428571,0.545514285714286,0.540442857142857,0.540839285714286,0.579453571428571,0.534275,0.5875,0.520178571428571,0.531064285714286,0.533832142857143,0.523357142857143,0.548214285714286,0.541803571428571,0.547864285714286,0.534475,0.556167857142857,0.552385714285714,0.54345,0.518525,0.547910714285714,0.532317857142857,0.531953571428571,0.566835714285714,0.535914285714286,0.533321428571429,0.509435714285714,0.514671428571429,0.570010714285714,0.511221428571429,0.53,0.550185714285714,0.530435714285714,0.550335714285714,0.524714285714286,0.512089285714286,0.530028571428571,0.522621428571429,0.537764285714286,0.543035714285714,0.506160714285714,0.541514285714286,0.525467857142857,0.540489285714286,0.539003571428571,0.510592857142857,0.515685714285714,0.540935714285714,0.532935714285714,0.541128571428571,0.514142857142857,0.530853571428571,0.528760714285714,0.514228571428571,0.520539285714286,0.538653571428571,0.564046428571429
AKAP9,0.168853846153846,0.170569230769231,0.170546153846154,0.167753846153846,0.172853846153846,0.162107692307692,0.2117,0.170538461538462,0.169538461538462,0.169384615384615,0.166907692307692,0.176338461538462,0.172892307692308,0.211253846153846,0.166423076923077,0.165030769230769,0.180069230769231,0.171976923076923,0.168769230769231,0.172569230769231,0.1662,0.215130769230769,0.172423076923077,0.175330769230769,0.174953846153846,0.172076923076923,0.170923076923077,0.174115384615385,0.153669230769231,0.171730769230769,0.174476923076923,0.175523076923077,0.170892307692308,0.171446153846154,0.171984615384615,0.169153846153846,0.168653846153846,0.166846153846154,0.173815384615385,0.165130769230769,0.164669230769231,0.171892307692308,0.168723076923077,0.173753846153846,0.168953846153846,0.171846153846154,0.221738461538462,0.170715384615385,0.221284615384615,0.170569230769231,0.172730769230769,0.168038461538462,0.170869230769231,0.170884615384615,0.1668,0.166546153846154,0.171161538461538,0.168846153846154,0.171938461538462,0.169215384615385,0.173846153846154,0.1722,0.168053846153846,0.178938461538462,0.214284615384615,0.169761538461538,0.169684615384615,0.167538461538462,0.170984615384615,0.216461538461538,0.172161538461538,0.171746153846154,0.162915384615385,0.169115384615385,0.172884615384615,0.168638461538462,0.1681,0.174146153846154,0.168192307692308,0.164946153846154,0.172407692307692,0.180384615384615,0.171384615384615,0.168853846153846,0.171807692307692,0.173330769230769,0.167584615384615,0.169661538461538,0.174761538461538,0.171138461538462,0.169115384615385,0.174223076923077,0.170584615384615,0.173184615384615,0.165407692307692,0.169115384615385,0.169930769230769,0.212084615384615
AKT1,0.660597058823529,0.652038235294118,0.6883,0.671441176470588,0.699741176470588,0.720158823529412,0.705511764705882,0.650202941176471,0.674491176470588,0.700929411764706,0.683576470588235,0.741397058823529,0.658767647058824,0.773061764705882,0.633114705882353,0.651294117647059,0.683926470588235,0.689991176470588,0.68175,0.683170588235294,0.687970588235294,0.772732352941176,0.664776470588235,0.658791176470588,0.692723529411765,0.682894117647059,0.692835294117647,0.697144117647059,0.676361764705882,0.691470588235294,0.694685294117647,0.661420588235294,0.682258823529412,0.690314705882353,0.678223529411765,0.66685,0.689279411764706,0.703129411764706,0.697694117647059,0.718623529411765,0.690597058823529,0.6871,0.672641176470588,0.676841176470588,0.664085294117647,0.676379411764706,0.735491176470588,0.671064705882353,0.763708823529412,0.701123529411765,0.639941176470588,0.68,0.659079411764706,0.699644117647059,0.661097058823529,0.662426470588235,0.655026470588235,0.716808823529412,0.685382352941176,0.669458823529412,0.726782352941176,0.676647058823529,0.738079411764706,0.691711764705882,0.765167647058824,0.662408823529412,0.673005882352941,0.708641176470588,0.648238235294118,0.755482352941176,0.710497058823529,0.678897058823529,0.674602941176471,0.651935294117647,0.696044117647059,0.672144117647059,0.65655,0.708297058823529,0.649955882352941,0.675029411764706,0.659094117647059,0.687355882352941,0.711361764705882,0.670526470588235,0.690514705882353,0.697970588235294,0.660932352941176,0.671544117647059,0.689461764705882,0.670373529411765,0.662720588235294,0.687011764705882,0.685482352941176,0.699726470588235,0.690508823529412,0.642697058823529,0.671232352941176,0.737794117647059
ANK2,0.593125,0.56635,0.6857125,0.62242,0.5933025,0.499075,0.6785625,0.635945,0.5719075,0.5127925,0.620525,0.556555,0.6322825,0.6020725,0.58181,0.5794175,0.611325,0.6339475,0.6415525,0.5996975,0.5976725,0.6059975,0.5949375,0.600345,0.5570125,0.5494175,0.60121,0.59174,0.5878275,0.57739,0.5496275,0.569305,0.5220975,0.5863175,0.62882,0.6131675,0.5370725,0.6397975,0.6271075,0.57937,0.6381025,0.6764225,0.633805,0.602355,0.6230375,0.623845,0.654625,0.581615,0.66161,0.543455,0.5821975,0.584115,0.571185,0.62553,0.631245,0.63336,0.596205,0.5492025,0.6190675,0.63268,0.552445,0.60766,0.5745525,0.6033425,0.5912175,0.6298725,0.64493,0.5198625,0.59207,0.60648,0.54347,0.5531325,0.6145875,0.5858625,0.6414825,0.56911,0.5877675,0.5306475,0.6236575,0.62882,0.624935,0.549615,0.5979675,0.5845975,0.5749575,0.612755,0.5588025,0.57898,0.5934475,0.5769675,0.63153,0.5523275,0.5813525,0.59205,0.5551225,0.6116925,0.600975,0.634405
ANK3,0.869869696969697,0.862581818181818,0.878830303030303,0.868324242424242,0.85150303030303,0.832309090909091,0.910981818181818,0.859921212121212,0.874618181818182,0.813721212121212,0.863087878787879,0.8463,0.883412121212121,0.881184848484848,0.866924242424242,0.86680303030303,0.892415151515151,0.873387878787879,0.859966666666667,0.891445454545455,0.873321212121212,0.877390909090909,0.854181818181818,0.866009090909091,0.845248484848485,0.84220303030303,0.890454545454545,0.876560606060606,0.879372727272727,0.857236363636364,0.847045454545455,0.867612121212121,0.838763636363636,0.867742424242424,0.870378787878788,0.871112121212121,0.831472727272727,0.888612121212121,0.879224242424242,0.853121212121212,0.875945454545455,0.877857575757576,0.868209090909091,0.872763636363636,0.855636363636364,0.879906060606061,0.916812121212121,0.860627272727273,0.911045454545454,0.854069696969697,0.853357575757576,0.878621212121212,0.868175757575758,0.881269696969697,0.869478787878788,0.875545454545455,0.859651515151515,0.863324242424242,0.880163636363636,0.866048484848485,0.849909090909091,0.876509090909091,0.860748484848485,0.883651515151515,0.889654545454545,0.876121212121212,0.887572727272727,0.826369696969697,0.847184848484848,0.889612121212121,0.837257575757576,0.858306060606061,0.876509090909091,0.862,0.890269696969697,0.871257575757576,0.867563636363636,0.839063636363636,0.873336363636364,0.867615151515152,0.875081818181818,0.847036363636364,0.876975757575758,0.856554545454545,0.859630303030303,0.871066666666667,0.846381818181818,0.856815151515152,0.863730303030303,0.861633333333333,0.88560303030303,0.850642424242424,0.864487878787879,0.865124242424242,0.849909090909091,0.84960303030303,0.875493939393939,0.892639393939394
APOB,0.634123076923077,0.62745,0.69925,0.666938461538462,0.596792307692308,0.632934615384615,0.721346153846154,0.657484615384615,0.635515384615385,0.603069230769231,0.706730769230769,0.653803846153846,0.68525,0.682665384615385,0.63805,0.6477,0.677096153846154,0.679338461538462,0.680834615384615,0.641857692307692,0.676434615384615,0.666365384615385,0.639611538461539,0.636907692307692,0.602846153846154,0.613384615384615,0.674288461538462,0.642407692307692,0.650215384615385,0.642892307692308,0.597269230769231,0.625196153846154,0.584957692307692,0.618611538461538,0.6707,0.672280769230769,0.618646153846154,0.738669230769231,0.659784615384615,0.613646153846154,0.714907692307692,0.732896153846154,0.679638461538462,0.638169230769231,0.720811538461538,0.627084615384615,0.7427,0.631130769230769,0.712623076923077,0.637234615384615,0.580115384615385,0.637807692307692,0.614357692307692,0.682165384615385,0.711519230769231,0.672780769230769,0.630773076923077,0.6644,0.677942307692308,0.662069230769231,0.595338461538462,0.69055,0.641361538461538,0.687923076923077,0.651384615384615,0.683926923076923,0.6977,0.613838461538462,0.652196153846154,0.665184615384615,0.621161538461538,0.628715384615385,0.681565384615385,0.599842307692308,0.703503846153846,0.633430769230769,0.635261538461538,0.635292307692308,0.630061538461538,0.677357692307692,0.666542307692308,0.621876923076923,0.651257692307692,0.635934615384615,0.636896153846154,0.668611538461538,0.601488461538462,0.637769230769231,0.627926923076923,0.646284615384615,0.733796153846154,0.625238461538462,0.65265,0.654034615384615,0.614069230769231,0.637115384615385,0.661942307692308,0.691523076923077
ARID1A,0.297112,0.279484,0.293328,0.294968,0.289336,0.290312,0.356748,0.29632,0.28688,0.294744,0.299116,0.30322,0.299332,0.356412,0.2824,0.278412,0.316508,0.290552,0.29476,0.305568,0.294272,0.381212,0.283132,0.30436,0.301316,0.284772,0.293276,0.30314,0.29186,0.282568,0.291876,0.28298,0.290728,0.29558,0.29354,0.299464,0.28748,0.294072,0.303252,0.294784,0.293004,0.2903,0.302624,0.300864,0.288704,0.302236,0.359904,0.289072,0.383936,0.286084,0.288068,0.285268,0.292192,0.30342,0.290368,0.299916,0.286316,0.305544,0.299064,0.295284,0.304856,0.28744,0.29086,0.30944,0.364892,0.287072,0.2939,0.295968,0.299904,0.358204,0.30326,0.2928,0.299608,0.300772,0.294576,0.28286,0.294276,0.28818,0.289788,0.303204,0.286044,0.307556,0.298164,0.288104,0.290184,0.299684,0.291004,0.287844,0.295684,0.287284,0.287588,0.295204,0.286824,0.292368,0.287868,0.294328,0.299032,0.355104
