MUC4,ERBB2
PIK3R1,PIK3R1
MAP2K4,FLNC
LRP2,APOB
F8,LRP1
UTRN,ACTN2
RB1,RB1
RYR2,RYR1
RYR3,RYR2
LRP2,TLN1
LRP2,TG
OBSCN,TTN
TP53,TP53
CREBBP,TP53
BRCA2,TP53
PRKDC,TP53
PTEN,TP53
ATM,TP53
CASP8,CDH1
BRCA2,FLNA
MAP2K4,FLNA
MED12,MED12
LYST,MED12
LRP2,LRP2
CUBN,LRP2
CREBBP,CREBBP
SRCAP,CREBBP
FASN,FASN
SCN2A,ANK3
NCOR1,NCOR1
SPEN,NCOR1
PRKDC,PRKDC
ATM,PRKDC
MAP2K4,MAP2K4
BRCA1,BRCA1
ATM,BRCA1
AKT1,BRCA1
RB1,BRCA1
TP53,BRCA1
CREBBP,BRCA1
BRCA2,BRCA1
ATM,ATM
MKI67,MKI67
ARID1B,ARID1B
DMD,DMD
KDM5B,RB1
PIK3R1,RB1
AKT1,AKT1
LRP1,LRP1
SETD2,SETD2
ACTN2,ACTN2
RYR1,RYR1
TG,TG
CDH1,CDH1
ANK3,PIK3R1
CBFB,CBFB
RUNX1,CBFB
AKT1,PIK3R1
AKT1,PRKDC
CASP8,RB1
CASP8,CASP8
TTN,ACTN2
TTN,FLNA
UTRN,UTRN
DMD,UTRN
HUWE1,TP53
NCOR1,ACTN2
GRIN2A,GRIN2A
AKT1,HTT
TP53,HTT
CREBBP,HTT
NCOR1,HTT
SETD2,HTT
TTN,MYH9
TTN,NEB
PIK3R1,PIK3CA
OBSCN,ANK2
AKT1,MAP2K4
AKT1,PTEN
AKT1,AHNAK
ERBB2,ERBB2
PIK3R1,ERBB2
PIK3R1,TLN1
PRKDC,BRCA1
ATM,BRCA2
NCOR1,SRCAP
RYR2,RYR2
SMG1,SMG1
MAP3K1,MAP2K4
CHD7,CTCF
ATM,HUWE1
ATM,USP34
MAP3K1,MAP3K1
MAP3K1,FASN
MAP3K1,FLNA
MAP3K1,USP9X
PIK3R1,FLNA
PIK3R1,BRCA1
FLNC,PIK3R1
PIK3R1,SPEN
TTN,TTN
CENPE,CENPE
DMD,ANK2
PTPRD,PTPRD
RUNX1,CREBBP
TRPM6,MYH9
TLN1,ERBB2
F8,F8
MYH9,FLNC
FMN2,FLNC
CUBN,FLNC
FLNC,FLNC
FLNC,LRP1
COL14A1,FLNC
TP53,SMG1
CASP8,HTT
HTT,DYNC1H1
BRCA1,FLNA
HTT,DOCK11
HTT,USP9X
HTT,PIK3R1
RANBP2,RANBP2
CUBN,CUBN
TP53,ANK2
HTT,WDFY3
RB1,TP53
BRCA2,BRCA2
RANBP2,ERBB2
COL14A1,COL14A1
KDM5B,CACNA1A
USP9X,CDH1
