gene,TCGA-A1-A0SK-01,TCGA-A1-A0SO-01,TCGA-A1-A0SP-01,TCGA-A2-A0ST-01,TCGA-A2-A0SX-01,TCGA-A2-A0T0-01,TCGA-A2-A0YE-01,TCGA-A2-A0YJ-01,TCGA-A2-A0YM-01,TCGA-A2-A1G1-01,TCGA-A2-A25F-01,TCGA-A7-A13D-01,TCGA-A7-A13E-01,TCGA-A7-A26G-01,TCGA-AC-A2BK-01,TCGA-AN-A0XU-01,TCGA-AO-A124-01,TCGA-AO-A128-01,TCGA-AO-A1KR-01,TCGA-AR-A0TP-01,TCGA-AR-A0TU-01,TCGA-AR-A0U0-01,TCGA-AR-A1AI-01,TCGA-AR-A1AJ-01,TCGA-AR-A1AQ-01,TCGA-AR-A1AR-01,TCGA-AR-A1AY-01,TCGA-AR-A24Q-01,TCGA-AR-A251-01,TCGA-AR-A256-01,TCGA-AR-A2LR-01,TCGA-B6-A0I1-01,TCGA-B6-A0RT-01,TCGA-B6-A0RU-01,TCGA-B6-A0WX-01,TCGA-B6-A0X1-01,TCGA-BH-A0B3-01,TCGA-BH-A0E0-01,TCGA-BH-A0RX-01,TCGA-BH-A0WA-01,TCGA-BH-A1F0-01,TCGA-BH-A1F6-01,TCGA-BH-A1FC-01,TCGA-C8-A1HJ-01,TCGA-C8-A27B-01,TCGA-D8-A1JK-01,TCGA-D8-A1JL-01,TCGA-D8-A1JM-01,TCGA-D8-A1XK-01,TCGA-D8-A1XQ-01,TCGA-D8-A27F-01,TCGA-D8-A27M-01,TCGA-E2-A14N-01,TCGA-E2-A1AZ-01,TCGA-E2-A1II-01,TCGA-E2-A1LG-01,TCGA-E2-A1LH-01,TCGA-E2-A1LI-01,TCGA-E2-A1LK-01,TCGA-E2-A1LL-01,TCGA-E9-A1N8-01,TCGA-E9-A1N9-01,TCGA-E9-A22G-01,TCGA-E9-A243-01,TCGA-E9-A244-01,TCGA-EW-A1P4-01,TCGA-EW-A1P8-01,TCGA-EW-A1PB-01,TCGA-EW-A1PH-01,TCGA-GM-A2DF-01,TCGA-HN-A2NL-01
ACTN2,0.941817561767119,0.944089042262331,0.901170266048934,0.905840793859827,0.919397340002376,0.861580105908389,0.946783844219283,0.940892737621501,0.940122152676095,0.837193172167536,0.85115718787257,0.894542194991417,0.947131624387347,0.809195575715423,0.957964414985403,0.946273413191452,0.434888244817989,0.785241312652982,0.884738087699409,0.957902635114083,0.948235074493394,0.888403625815671,0.629392667133271,0.891011472583343,0.860289131287504,0.91800662624928,0.944549197654429,0.952438242215124,0.958441119374745,0.62808050809699,0.964691385637361,0.934615126130378,0.910302410923,0.93946535737872,0.920820748441917,0.943619468431963,0.888653810080387,0.945161451798774,0.901552185042392,0.946782285901132,0.883340244297468,0.897778638170482,0.939627672470516,0.938593171381486,0.924437362608766,0.813215562785942,0.907874944019718,0.954183299068753,0.934398277245617,0.710075831686746,0.946095435205555,0.933213728661343,0.90824396039002,0.901144259027938,0.86340715877476,0.931514989423151,0.911769644529979,0.878986753160707,0.938554222751901,0.646743039508136,0.94775368217,0.940405553639434,0.971793123147246,0.884836331816482,0.938335076537731,0.918900769096212,0.613931351556681,0.816961661515201,0.946036292254559,0.920700600762839,0.963110438249711
AHCTF1,0.938908980564847,0.956748068670576,0.945484801771652,0.960031735252252,0.945996132948237,0.923201670393658,0.927526740760114,0.931934081658245,0.947229585117873,0.955440618945199,0.958533176419829,0.941848504997453,0.96276887988097,0.956174665894507,0.950019389175281,0.954586689694452,0.896483114182606,0.946739969169483,0.963048951299728,0.947498034852723,0.957274484759819,0.95323736261743,0.938193287892503,0.94976148135882,0.940669408076079,0.94784443436334,0.959280371121938,0.949440563790064,0.928029713965259,0.935928864431066,0.894103003406126,0.922592731345447,0.940287675904075,0.928098516805248,0.959261168699849,0.93792848138651,0.955927430762238,0.942211464085474,0.921281094200965,0.924353885819412,0.944693681352461,0.956905236420282,0.944297397248161,0.957100264351601,0.951194879422962,0.950827997334094,0.951007627018152,0.95751359844275,0.948536729475986,0.951571123624879,0.936304302672638,0.943665171754014,0.941039321812578,0.962798981288726,0.956196630956538,0.846191801804668,0.93586735617874,0.943011514414803,0.951888365400188,0.963410110750461,0.96054546664745,0.953532972663763,0.977828626795082,0.956513964068519,0.952149517768642,0.852830439727643,0.955833238145388,0.946630574702082,0.848292323553274,0.940588623101406,0.950957820313939
AHNAK,0.947587897445405,0.962054587938989,0.929495371132924,0.954072499510501,0.944240679674324,0.904467332566111,0.944786281115473,0.96532040259011,0.96508686632625,0.931384708458238,0.945070074410517,0.950811428460965,0.959952256302025,0.939590016264207,0.964355808665275,0.941676900187963,0.900857904649789,0.954461837479712,0.960627430333406,0.950534588043279,0.954707903233345,0.953117905499722,0.941025348121872,0.953763780542273,0.946069596886242,0.953805262173526,0.944440110326323,0.944733588091385,0.921462970954185,0.951597053790748,0.961733852900805,0.933164195112124,0.963317046070785,0.937232558407742,0.967721716109589,0.953510452973429,0.948156960485763,0.960829133989414,0.953124874801161,0.945305435350461,0.955980935574715,0.927180306161444,0.953114727053826,0.951473786093396,0.948015131164931,0.930577139210331,0.949173183480267,0.949187417258435,0.95050083341861,0.933837273900931,0.940431114202387,0.928627917965699,0.957783134116374,0.958268785295539,0.921102422169292,0.541536625693522,0.959003686350362,0.946291845556777,0.956621473810617,0.926719945560063,0.947031786325759,0.824541713359284,0.973524816492273,0.949787303060127,0.941309531489143,0.934599486721915,0.934745001283275,0.942263933326505,0.898362147930894,0.945718821801946,0.946931614593384
AHNAK2,0.976663749176364,0.984959423401101,0.975870319736959,0.980422997511677,0.980564017494744,0.983654557893144,0.977507756382129,0.980397116056397,0.981981544829907,0.985366252844358,0.9788752934392,0.953169423932707,0.98307967558872,0.979718235697327,0.979009912156559,0.985700340305847,0.983374944888884,0.98363331944399,0.980952482690176,0.983645504020804,0.976005802217654,0.979350804594105,0.981537957010167,0.968268233774708,0.978254230406258,0.984209556330845,0.982218716267317,0.976679886080602,0.973596382724576,0.975346781120343,0.979845483029086,0.985606779495594,0.981423987910845,0.9795401107182,0.978424352203438,0.982282572127761,0.978437501437642,0.979441942758043,0.978903273124821,0.971853640747481,0.980629254510658,0.982302963626081,0.980289242764059,0.988379741994687,0.98297040952016,0.972452377501438,0.982102928519102,0.975703353470436,0.98365965632197,0.975388800569938,0.98413248491898,0.979499048557688,0.983841488189271,0.98422644885136,0.984114661450306,0.977392935543727,0.97878969450475,0.979341393530172,0.979333743955739,0.987740061546202,0.975532605976965,0.983297991617331,0.953162345401308,0.98113663732111,0.985216260571921,0.981351069262593,0.979416360590453,0.984078901326096,0.979001703995337,0.973480996609665,0.9740923250773
AKAP9,0.948120056276551,0.931349413001187,0.928584595003764,0.944524010722436,0.953544714164169,0.947242584852652,0.949946637688196,0.940370513292577,0.947865461889539,0.956241110441026,0.954770379999423,0.946395213059844,0.95071921260192,0.950908106566362,0.935321417754996,0.941761664694588,0.95299720742826,0.955927078762147,0.956502625715332,0.926202768509036,0.950062872435292,0.959652161902738,0.946519775631723,0.937297218105174,0.95763258062318,0.949935882444321,0.951428430129668,0.947842862362749,0.946853949144779,0.966171648385233,0.955663567225814,0.948439085616398,0.942867023623232,0.947507842542805,0.950738127884507,0.952013216107674,0.956514122787069,0.96173044154814,0.944788862920175,0.929933374041212,0.947317208273849,0.952974264457813,0.952936771508285,0.947377720995577,0.966564219632019,0.95328465876865,0.955686752694257,0.94689230919657,0.940358470999961,0.941917682681775,0.956363661198769,0.954819688559011,0.955571744797938,0.946075763460847,0.943109237145229,0.944240175940748,0.949244984116786,0.963074746523947,0.951570212057183,0.964073519537022,0.962415136552639,0.954702772373265,0.952068747050782,0.951808226602336,0.953181974146598,0.947860910904228,0.929990895564823,0.94439861839517,0.944410309952829,0.960177080478518,0.96400972263245
AKT1,0.984608270154478,0.992986975784238,0.988477054760015,0.989889462143927,0.987936450895631,0.98770438868309,0.990166445674206,0.988373054418578,0.990120297997465,0.987194744369299,0.979059667571147,0.981511662261952,0.991038972689744,0.985352402071914,0.985973828886758,0.99058960370259,0.98547562806077,0.991265167542835,0.98791142426407,0.990999101641172,0.991137663450627,0.989080172250463,0.986590628910974,0.981656487518977,0.988004044573388,0.987259151653983,0.987051941313207,0.981333191355547,0.983552427940314,0.98438721675666,0.934426530754635,0.988775607275379,0.991834639836396,0.979105490543812,0.991388698513294,0.989374433433752,0.991100633120479,0.991492645715448,0.991410749058036,0.988715429999609,0.991842043652223,0.991507391210935,0.986994590938708,0.987529280729254,0.981010657896297,0.979638516629853,0.984589208917661,0.987441878957124,0.987563367591085,0.984932245276535,0.983372776038986,0.970125250316016,0.988447749432162,0.987656267079036,0.987633940242833,0.607379686572663,0.976990136608371,0.988327969421257,0.98626834402392,0.988650599735648,0.986103793653097,0.982185122836279,0.973764788472479,0.980366302587121,0.981826518901198,0.989784430483506,0.988310912133852,0.981127347110303,0.978737245610517,0.986921759509574,0.979509314917378
ANK2,0.913523496684165,0.958757164518338,0.922551012722164,0.931642402122484,0.922948866303574,0.907701270710219,0.897692824241347,0.91594749692028,0.937462124278947,0.929456670073066,0.914193962573476,0.890778699265156,0.932389606961996,0.865709841616843,0.902080665584105,0.923413119485,0.599556545805216,0.888291575382955,0.94840377091042,0.856257103993962,0.950572308549939,0.918633501761796,0.941791360344118,0.906176960778635,0.924921449430438,0.928660177317637,0.915499882823037,0.89734752076608,0.928453169456421,0.94385675012605,0.954087900330644,0.916668590978884,0.92145096321908,0.916896555985989,0.907915924325741,0.90360651035986,0.937001994284464,0.917483625868035,0.915864756622269,0.877282348177719,0.890520837294505,0.937078491539901,0.940096709545891,0.941004193881015,0.928553703256685,0.744664704155373,0.941838025553416,0.923765530664904,0.916904288024295,0.856531969948357,0.922765192845208,0.927640894945955,0.932085801363166,0.940742860175512,0.925190527780741,0.92830076794365,0.923151023803193,0.93274414102074,0.933863427785518,0.7752684415126,0.945279436928157,0.925254071498971,0.930358542215748,0.914753246264904,0.947903648573803,0.952163637905143,0.929554071542995,0.945201819076979,0.916031697621651,0.926316598985474,0.962834221096144
ANK3,0.967505061299507,0.942435188114543,0.955309312320111,0.975315775189029,0.976687265172849,0.950660864185119,0.943230336106652,0.958823019940035,0.972714799718119,0.966563639500026,0.974264208301296,0.972218119389706,0.987100842494846,0.976572994958554,0.973496684647269,0.948867942354027,0.974910106096788,0.97752093594517,0.972656071506592,0.960745533762261,0.974870760296721,0.959880796172993,0.978036042051957,0.972246738196912,0.971519784131353,0.976527047490182,0.968630700755241,0.96486796873607,0.971998567224264,0.969188437027332,0.963063863653198,0.974178982722315,0.965737767688831,0.964960151104821,0.961465488978479,0.969101862343085,0.968748224463782,0.972484037681464,0.967144993745192,0.953077945447453,0.959017294981622,0.983546220171454,0.960278426227971,0.964077143661118,0.970631139529344,0.972189815342638,0.977245426297472,0.974564475527199,0.974635630176376,0.96852891782702,0.980880947304234,0.978099838405456,0.967960476376514,0.9807145294575,0.977435217317172,0.965255190402522,0.969141418969126,0.969280939992258,0.984889417868193,0.978238672903276,0.980647115923429,0.977775422193298,0.961340296403197,0.96810909775931,0.979643268996197,0.981507273338827,0.979956459562665,0.973418390813577,0.978382452340349,0.976538311134321,0.963158859256623
ANKHD1,0.113213325951267,0.0773394167886385,0.0994249767710103,0.101065058429387,0.100016002890205,0.0895960192790913,0.118385915251017,0.0926165042809353,0.120394887766996,0.0889844374308666,0.121599494753482,0.0923135246300835,0.122762395696537,0.111381716149586,0.0963602887308366,0.141520122573221,0.0708763459979422,0.0760181948597244,0.10351860626728,0.138632713182437,0.146529350567328,0.154518821453022,0.130525205946165,0.112212379445487,0.0940650285424973,0.115640950574838,0.0915290937493306,0.119741439896419,0.113294853597543,0.101790317374002,0.1300256026785,0.0897082661615627,0.103240098595235,0.112331980823393,0.111082393065384,0.117541484489888,0.103230846751699,0.114466576607112,0.0827345164542807,0.152312015709808,0.129385900248013,0.0976715612423718,0.116772909761831,0.108608515076422,0.098625853094947,0.0841416647112276,0.108546260976186,0.104513235840104,0.0769014370314045,0.0864868383151207,0.0815555563120963,0.181438376148519,0.146226727381536,0.130489243310086,0.103379819630195,0.0882614834496205,0.0910617903360617,0.109218562928721,0.0942730245231621,0.095748704587889,0.101206023174766,0.11200221863978,0.162306634922523,0.117238166657706,0.0904473543803709,0.0974096022879073,0.0854494406259647,0.0948564774048259,0.0783306425488489,0.125691659927262,0.119348201603122
APOB,0.944947527133833,0.92788304399088,0.882791264686135,0.832081103668251,0.916811299132357,0.67847122929625,0.920768635351182,0.460726197923145,0.913499648427367,0.793561281444157,0.914710382086829,0.877460083432695,0.933298297409441,0.898087677910347,0.920860304312162,0.905344316927446,0.392797191289713,0.777828940045099,0.917249682700844,0.929675731796232,0.949274288588103,0.676522289246099,0.786224118956411,0.878810879726742,0.945792124950689,0.918084817713215,0.948433247602781,0.838705314224334,0.654452783163842,0.936316417890199,0.909198661966954,0.872952176742355,0.892922173262561,0.889836869561924,0.930740455805029,0.952467015404142,0.890453094997694,0.79298926460841,0.867041218358712,0.756506398540229,0.767461974865863,0.913241961358396,0.913984600123735,0.933963840881778,0.751179277852786,0.543167833215944,0.94508092808777,0.910873027256857,0.90446055807831,0.573695077724389,0.911360495627857,0.895588942713834,0.900943913870995,0.829417664203635,0.846084035278085,0.884247982149711,0.90646679643415,0.825714645512346,0.942265325542329,0.770099641630815,0.93888062055743,0.931204844593326,0.806950016323392,0.871832463533515,0.773369004918776,0.908501596397335,0.911985811333322,0.748475704313669,0.705362058268649,0.894731713027706,0.941828108316605
