gene,TCGA-A2-A0T1-01,TCGA-AC-A23H-01,TCGA-AR-A0TX-01,TCGA-AR-A24U-01,TCGA-AR-A254-01,TCGA-BH-A1EV-01,TCGA-BH-A203-01,TCGA-C8-A1HF-01,TCGA-C8-A1HK-01,TCGA-C8-A26X-01,TCGA-C8-A26Y-01,TCGA-C8-A275-01,TCGA-C8-A278-01,TCGA-D8-A1JF-01,TCGA-D8-A1JG-01,TCGA-D8-A1XT-01,TCGA-E2-A1B0-01,TCGA-E2-A1LB-01,TCGA-E9-A1RH-01,TCGA-E9-A248-01,TCGA-EW-A1OV-01,TCGA-EW-A2FR-01,TCGA-GM-A2DB-01,TCGA-GM-A2DH-01
ACTN2,0.888456938390839,0.971547950614285,0.833471103150347,0.859270894652348,0.934785761482933,0.955651356575139,0.950477291923727,0.920499890674726,0.933248943561801,0.93927583053573,0.912020871003508,0.934579067196561,0.943307472301325,0.61592476931565,0.876658619366725,0.919665819581566,0.860183279018137,0.942138314707184,0.580638513408049,0.884360850369201,0.867358492045433,0.906702798609875,0.745994027259903,0.901905990837507
AHCTF1,0.948453129366446,0.966195755633074,0.900568835771371,0.943676477030447,0.940528219334235,0.952173450256612,0.956490029556499,0.951287230409995,0.917001812243522,0.950570148192045,0.904418597285627,0.947290303817159,0.953492861525776,0.950233448966463,0.959941269295828,0.930993873450867,0.915154633131926,0.964037717053353,0.961342481012883,0.947513576182657,0.933535129521169,0.945496384625364,0.922323295827848,0.952731846663391
AHNAK,0.955640643782757,0.969478984986211,0.922104655887668,0.942602481537112,0.951238107105601,0.948179667392244,0.951392643847251,0.952808616258694,0.906821737548459,0.948313818277761,0.960778942159218,0.95087982431947,0.954782013414287,0.948848203906963,0.930494186734532,0.93551788235025,0.94836875005498,0.929198842154432,0.927434878132305,0.954458959726453,0.920856889322127,0.920340238559448,0.93136244025989,0.949657917121263
AHNAK2,0.982350631556115,0.969632365882664,0.979862145950332,0.978699766276897,0.978391245249801,0.98483185196622,0.981113556815684,0.981098969568136,0.979664853275825,0.985637093494396,0.983830343048371,0.979967030823128,0.982533970644338,0.983106178729012,0.97668111275075,0.983084924587424,0.980695899649773,0.982371007219483,0.982446468987464,0.973774969053924,0.982999612929307,0.981214273040107,0.981149355104922,0.976665608656432
AKAP9,0.955754483175559,0.956792956523106,0.954808269545458,0.954039989012055,0.944985849077323,0.930089336129305,0.963532080131319,0.954923951639644,0.951315045067963,0.955883875997724,0.960683031915724,0.956268759699365,0.956680547047689,0.948915467243183,0.931732371231582,0.95518279789825,0.962779748637912,0.963006072791034,0.958168762806705,0.958892826600824,0.954291621830387,0.942607967379044,0.964102806781046,0.954082020397045
AKT1,0.987412975806602,0.992940309802469,0.990226675474465,0.982108906429706,0.982949662480539,0.990356144702883,0.982588391540034,0.986329893211024,0.986059485389238,0.979503658508796,0.980466945601441,0.982266105115224,0.984260281889649,0.988829237522034,0.981542236525772,0.981175085153717,0.98927520115508,0.992725820021857,0.976338699657723,0.988162296313408,0.989317288353331,0.983565952336522,0.982651539989849,0.986179478837916
ANK2,0.904149513535663,0.944100503710002,0.923165175944949,0.922611823963493,0.892938423942532,0.904528747897763,0.924803963605443,0.928465337045106,0.861031036545163,0.938433432875149,0.645938303122164,0.948470806838262,0.934558297509547,0.826862796520101,0.905403814055356,0.939727514980987,0.922704162493814,0.914562532803839,0.746015421814727,0.94766421660135,0.819990367456408,0.933386133596529,0.766565093196814,0.943998360822259
ANK3,0.972905180635671,0.92647186875842,0.971517251676974,0.965745758214506,0.982028548051625,0.962856070252225,0.972686538108145,0.972096051375011,0.982330626411589,0.969420805967268,0.961955158692355,0.973508752599131,0.968634243089703,0.97665365486924,0.96365777993174,0.975622256177009,0.979783326392827,0.984536836841559,0.980106540835866,0.97304729952361,0.976287324623105,0.97635101388031,0.969503611457441,0.981378889278871
ANKHD1,0.0870356996128554,0.189847912540517,0.0995837549740699,0.108889031374889,0.122219326250036,0.107246865736922,0.107948454693154,0.100811925111773,0.116452407078061,0.153739236823395,0.114806169143857,0.144853384948772,0.122086877069826,0.106034939365272,0.106957657065067,0.0911652980123732,0.108067752700282,0.0793271871461987,0.0903391934657124,0.114464764665422,0.100271888420021,0.0994338714789368,0.140456504624704,0.117116965329116
APOB,0.868950878600856,0.943753994749965,0.888267578096552,0.780628883572928,0.896803228599368,0.948519826694983,0.896591152840415,0.949425632240599,0.905180786314466,0.927807429579138,0.530741658810991,0.921025418596389,0.918148017150239,0.926838016173004,0.896529720466288,0.887299819338429,0.665955872230581,0.92472001370345,0.7957295752154,0.659228174278548,0.888393075128103,0.850373227154676,0.858490304720692,0.922385664999315
